APPLICATION_NUMBER,APPLICATION_DATE,APPLICATION_TYPE,STATUS,STATUS_DATE,ADDRESS,WARD,LATITUDE,LONGITUDE,IS_ACTIVE,IS_APPROVED
D07-12-22-0102           ,2022-06-23,Site Plan Control        ,Request for Agreement Received,2024-07-03,393 MCARTHUR,Ward 12                            ,45.432404999999996,-75.650151,1,0
D07-16-22-0026           ,2022-12-13,Plan of Subdivision      ,Draft Approved,2025-07-21,4386 RIDEAU VALLEY,Ward 21                            ,45.229912999999996,-75.69449,0,1
D07-12-22-0173           ,2022-12-14,Site Plan Control        ,Receipt of Letter of Undertaking from Owner Pending,2025-07-22,135 CARDEVCO,Ward 5                             ,45.292761,-75.978591,0,0
D07-04-22-0019           ,2022-12-13,Plan of Condominium      ,Draft Approved,2023-09-08,4800 BANK,Ward 22                            ,45.303495999999996,-75.608975,0,1
D07-16-22-0028           ,2022-12-19,Plan of Subdivision      ,Application Draft Approved,2024-07-30,3285 BORRISOKANE,Ward 3                             ,45.256206999999996,-75.763829,0,1
D07-16-22-0028           ,2022-12-19,Plan of Subdivision      ,Application Draft Approved,2024-07-30,3288 BORRISOKANE,Ward 3                             ,45.25393,-75.77149899999999,0,1
D02-02-22-0120           ,2022-12-19,Zoning By-law Amendment  ,Application Approved by Council,2024-07-30,3285 BORRISOKANE,Ward 3                             ,45.256206999999996,-75.763829,0,1
D02-02-22-0120           ,2022-12-19,Zoning By-law Amendment  ,Application Approved by Council,2024-07-30,3288 BORRISOKANE,Ward 3                             ,45.25393,-75.77149899999999,0,1
D02-02-23-0031           ,2023-04-18,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-08-14,1196 CUMMINGS,Ward 11                            ,45.426550999999996,-75.632363,0,1
D02-02-23-0031           ,2023-04-18,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-08-14,1188 CUMMINGS,Ward 11                            ,45.42675,-75.632471,0,1
D07-12-23-0044           ,2023-04-18,Site Plan Control        ,Agreement Registered - Securities Held,2025-04-30,1184 CUMMINGS,Ward 11                            ,45.427,-75.632607,0,1
D07-12-23-0044           ,2023-04-18,Site Plan Control        ,Agreement Registered - Securities Held,2025-04-30,1188 CUMMINGS,Ward 11                            ,45.42675,-75.632471,0,1
D07-16-23-0013           ,2023-08-24,Plan of Subdivision      ,Agreement Registered - Securities Held,2025-09-10,980 EARL ARMSTRONG,Ward 22                            ,45.278681999999996,-75.666383,0,1
D07-16-23-0013           ,2023-08-24,Plan of Subdivision      ,Agreement Registered - Securities Held,2025-09-10,980 EARL ARMSTRONG,Ward 22                            ,45.279264,-75.670633,0,1
D07-16-23-0013           ,2023-08-24,Plan of Subdivision      ,Agreement Registered - Securities Held,2025-09-10,980 EARL ARMSTRONG,Ward 22                            ,45.279689,-75.666984,0,1
D02-02-23-0068           ,2023-08-25,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-12-07,4663 HIGHWAY 17,Ward 5                             ,45.400686,-76.27414,0,1
D07-16-23-0010           ,2023-07-05,Plan of Subdivision      ,Agreement Registered - Securities Held,2025-02-18,3713 BORRISOKANE,Ward 3                             ,45.238839999999996,-75.752752,0,1
D02-02-23-0064           ,2023-07-05,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-07-29,3713 BORRISOKANE,Ward 3                             ,45.238839999999996,-75.752752,0,1
D02-02-23-0065           ,2023-07-14,Zoning By-law Amendment  ,Application Approved by OMB,2024-04-04,5134 PIPERVILLE,Ward 20                            ,45.349568999999995,-75.503355,0,1
D07-12-21-0079           ,2021-06-03,Site Plan Control        ,Resubmission Received,2021-08-11,99 BILL LEATHEM,Ward 24                            ,45.296851,-75.713388,0,0
D07-12-21-0081           ,2021-06-07,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2024-08-19,2380 CLEROUX; CROIS,Ward 2                             ,45.436071,-75.550186,0,1
D07-12-21-0081           ,2021-06-07,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2024-08-19,2396 CLEROUX; CROIS,Ward 2                             ,45.435961,-75.54963599999999,0,1
D07-12-21-0080           ,2021-06-05,Site Plan Control        ,Approval Lapsed - No Building Permit Issued,2025-06-06,5331 FERNBANK,Ward 23                            ,45.276163,-75.870665,0,0
D07-12-19-0145           ,2019-08-19,Site Plan Control        ,Signed Letter of Undertaking Received,2024-04-24,8520 MCARTON,Ward 5                             ,45.205407,-76.052623,0,0
D07-12-19-0146           ,2019-08-21,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2022-09-22,278 O'CONNOR,Ward 14                            ,45.415029999999994,-75.693731,0,1
D07-12-19-0146           ,2019-08-21,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2022-09-22,280 O'CONNOR,Ward 14                            ,45.414902,-75.693621,0,1
D07-12-19-0181           ,2019-11-04,Site Plan Control        ,Agreement Registered - Securities Held,2022-01-06,114 RUSSELL,Ward 12                            ,45.42398,-75.67698399999999,0,1
D07-12-19-0181           ,2019-11-04,Site Plan Control        ,Agreement Registered - Securities Held,2022-01-06,118 RUSSELL,Ward 12                            ,45.42398,-75.67698399999999,0,1
D07-12-19-0181           ,2019-11-04,Site Plan Control        ,Agreement Registered - Securities Held,2022-01-06,122 RUSSELL,Ward 12                            ,45.423853,-75.67687699999999,0,1
D07-12-20-0128           ,2020-10-06,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2021-12-03,2510 WELLINGS,Ward 6                             ,45.283145,-75.914199,0,1
D07-12-20-0129           ,2020-10-08,Site Plan Control        ,Notice of Decision Sent,2021-03-16,178 RUSSELL,Ward 12                            ,45.422675,-75.67588599999999,0,1
D02-02-20-0097           ,2020-10-13,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-05-14,6171 HAZELDEAN,Ward 6                             ,45.270899,-75.937341,0,1
D07-16-20-0026           ,2020-10-13,Plan of Subdivision      ,Request for Agreement Received,2024-03-04,6171 HAZELDEAN,Ward 6                             ,45.270899,-75.937341,1,0
D07-12-20-0133           ,2020-10-14,Site Plan Control        ,Agreement Package Received from Owner,2023-07-11,3713 BORRISOKANE,Ward 3                             ,45.238839999999996,-75.752752,0,0
D02-02-20-0099           ,2020-10-16,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-06-08,129 CATHERINE,Ward 14                            ,45.410506999999996,-75.69020499999999,0,1
D07-12-21-0036           ,2021-03-17,Site Plan Control        ,Approval Lapsed - No Building Permit Issued,2025-08-18,2020 WALKLEY,Ward 10                            ,45.382954999999995,-75.627811,0,0
D07-12-21-0036           ,2021-03-17,Site Plan Control        ,Approval Lapsed - No Building Permit Issued,2025-08-18,2935 CONROY,Ward 10                            ,45.381629,-75.628252,0,0
D07-16-21-0005           ,2021-03-17,Plan of Subdivision      ,Receipt of Agreement from Owner Pending,2023-04-05,1837 MAPLE GROVE,Ward 6                             ,45.287039,-75.92375799999999,0,0
D07-16-21-0005           ,2021-03-17,Plan of Subdivision      ,Receipt of Agreement from Owner Pending,2023-04-05,1849 MAPLE GROVE,Ward 6                             ,45.286443,-75.924821,0,0
D02-02-21-0022           ,2021-03-17,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-08-08,1837 MAPLE GROVE,Ward 6                             ,45.287039,-75.92375799999999,0,1
D07-12-22-0175           ,2022-12-16,Site Plan Control        ,Receipt of Agreement from Owner Pending,2024-11-06,864 LADY ELLEN,Ward 16                            ,45.37969,-75.74295699999999,0,0
D07-12-22-0176           ,2022-12-20,Site Plan Control        ,,2023-09-05,407 SMYTH,Ward 18                            ,45.401444,-75.651395,0,0
D07-12-22-0182           ,2022-12-22,Site Plan Control        ,Notice of Decision Sent,2023-11-10,2663 INNES,Ward 2                             ,45.432686,-75.563198,0,1
D07-12-22-0177           ,2022-12-20,Site Plan Control        ,Agreement Registered - Securities Held,2025-04-24,3430 CARLING,Ward 7                             ,45.352061,-75.83724699999999,0,1
D07-12-22-0178           ,2022-12-21,Site Plan Control        ,Application Approved,2025-12-18,225 MAPLE CREEK,Ward 5                             ,45.302913,-75.975414,0,1
D07-12-22-0179           ,2022-12-21,Site Plan Control        ,Request for Agreement Received,2023-12-11,2700 SWANSEA,Ward 10                            ,45.37764,-75.613852,1,0
D07-12-23-0056           ,2023-05-09,Site Plan Control        ,Notice of Decision Sent,2024-01-24,285 MOUNTSHANNON,Ward 24                            ,45.285745999999996,-75.742386,0,1
D07-12-24-0020           ,2024-04-10,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2024-10-28,205 GREENBANK,Ward 9                             ,45.326498,-75.778469,0,1
D01-01-24-0007           ,2024-03-21,Official Plan Amendment  ,No Appeal - Official Plan Amendment Adopted,2024-10-22,1390 CORKERY,Ward 5                             ,45.278769,-76.087204,0,1
D01-01-24-0007           ,2024-03-21,Official Plan Amendment  ,No Appeal - Official Plan Amendment Adopted,2024-10-22,1402 CORKERY,Ward 5                             ,45.279547,-76.088897,0,1
D01-01-24-0007           ,2024-03-21,Official Plan Amendment  ,No Appeal - Official Plan Amendment Adopted,2024-10-22,190 DAVID MANCHESTER,Ward 5                             ,45.25964,-75.97582799999999,0,1
D07-12-21-0001           ,2021-01-04,Site Plan Control        ,Approval Package Not Accepted,2023-08-27,245 BEECHWOOD,Ward 13                            ,45.443909999999995,-75.67098299999999,0,0
D02-02-21-0001           ,2021-01-05,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-02-24,299 CARLING,Ward 17                            ,45.400431999999995,-75.703048,0,1
D02-02-20-0118           ,2020-11-20,Zoning By-law Amendment  ,Application File Pending,2021-10-06,6012 OTTAWA,Ward 21                            ,45.187605,-75.820908,1,0
D02-02-21-0062           ,2021-06-30,Zoning By-law Amendment  ,Application Approved by OMB,2025-01-22,1187 WELLINGTON,Ward 15                            ,45.400836,-75.729745,0,1
D02-02-21-0062           ,2021-06-30,Zoning By-law Amendment  ,Application Approved by OMB,2025-01-22,1189 WELLINGTON,Ward 15                            ,45.400836,-75.729745,0,1
D02-02-21-0062           ,2021-06-30,Zoning By-law Amendment  ,Application Approved by OMB,2025-01-22,1194 WELLINGTON,Ward 15                            ,45.400352,-75.729435,0,1
D01-01-21-0011           ,2021-06-30,Official Plan Amendment  ,Application Approved by OMB,2025-01-22,1188 WELLINGTON,Ward 15                            ,45.400352,-75.729435,0,1
D01-01-21-0011           ,2021-06-30,Official Plan Amendment  ,Application Approved by OMB,2025-01-22,1186 WELLINGTON,Ward 15                            ,45.400352,-75.729435,0,1
D01-01-21-0011           ,2021-06-30,Official Plan Amendment  ,Application Approved by OMB,2025-01-22,1194 WELLINGTON,Ward 15                            ,45.400352,-75.729435,0,1
D01-01-21-0011           ,2021-06-30,Official Plan Amendment  ,Application Approved by OMB,2025-01-22,1189 WELLINGTON,Ward 15                            ,45.400836,-75.729745,0,1
D01-01-21-0011           ,2021-06-30,Official Plan Amendment  ,Application Approved by OMB,2025-01-22,1191 WELLINGTON,Ward 15                            ,45.400836,-75.729745,0,1
D02-02-19-0134           ,2019-11-12,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-12-29,2701 LONGFIELDS,Ward 21                            ,45.249998,-75.72118999999999,0,1
D07-12-19-0185           ,2019-11-12,Site Plan Control        ,Notice of Decision Sent,2021-10-22,82 ECCLES,Ward 14                            ,45.408504,-75.71081,0,1
D07-12-19-0187           ,2019-11-15,Site Plan Control        ,Application Approved,2022-08-17,1151 TERON,Ward 4                             ,45.333543,-75.903958,0,1
D07-12-19-0164           ,2019-10-01,Site Plan Control        ,Agreement Registered - Securities Held,2024-11-02,2370 WALKLEY,Ward 10                            ,45.388875999999996,-75.613044,0,1
D07-12-19-0167           ,2019-10-04,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2022-06-09,328 WINONA,Ward 15                            ,45.394673,-75.75456799999999,0,1
D07-12-19-0167           ,2019-10-04,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2022-06-09,2070 SCOTT,Ward 15                            ,45.394754999999996,-75.754834,0,1
D07-12-20-0146           ,2020-11-10,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-07-23,1619 CARLING,Ward 15                            ,45.380531999999995,-75.74772899999999,0,1
D07-12-20-0146           ,2020-11-10,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-07-23,1655 CARLING,Ward 15                            ,45.380258,-75.74835999999999,0,1
D07-12-20-0145           ,2020-11-10,Site Plan Control        ,Receipt of Agreement from Owner Pending,2022-03-18,176 NEPEAN,Ward 14                            ,45.417342999999995,-75.696885,0,0
D07-12-20-0145           ,2020-11-10,Site Plan Control        ,Receipt of Agreement from Owner Pending,2022-03-18,293 LISGAR,Ward 14                            ,45.417342999999995,-75.696885,0,0
D07-12-21-0035           ,2021-03-17,Site Plan Control        ,Application File Pending,2022-05-19,21 HUNTMAR,Ward 6                             ,45.284259,-75.91423499999999,1,0
D02-02-21-0021           ,2021-03-17,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-12-20,2020 WALKLEY,Ward 10                            ,45.381629,-75.628252,0,1
D02-02-21-0021           ,2021-03-17,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-12-20,2020 WALKLEY,Ward 10                            ,45.382954999999995,-75.627811,0,1
D02-02-21-0021           ,2021-03-17,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-12-20,2935 CONROY,Ward 10                            ,45.382954999999995,-75.627811,0,1
D01-01-21-0003           ,2021-03-19,Official Plan Amendment  ,Second By-law in Effect,2023-02-22,1032 BLASDELL,Ward 13                            ,45.453029,-75.652541,0,0
D01-01-21-0003           ,2021-03-19,Official Plan Amendment  ,Second By-law in Effect,2023-02-22,244 ST-LAURENT; BOUL,Ward 13                            ,45.451837999999995,-75.654355,0,0
D01-01-21-0003           ,2021-03-19,Official Plan Amendment  ,Second By-law in Effect,2023-02-22,61 BRAEMAR,Ward 13                            ,45.450922999999996,-75.654575,0,0
D01-01-21-0003           ,2021-03-19,Official Plan Amendment  ,Second By-law in Effect,2023-02-22,411 CARPENTER,Ward 13                            ,45.447207999999996,-75.645958,0,0
D02-02-21-0085           ,2021-08-23,Zoning By-law Amendment  ,OMB Appeal Withdrawn - Application Approved,2023-09-15,257 KING EDWARD,Ward 12                            ,45.431868,-75.68794799999999,0,1
D02-02-21-0085           ,2021-08-23,Zoning By-law Amendment  ,OMB Appeal Withdrawn - Application Approved,2023-09-15,260 MURRAY,Ward 12                            ,45.431497,-75.68763,0,1
D02-02-21-0085           ,2021-08-23,Zoning By-law Amendment  ,OMB Appeal Withdrawn - Application Approved,2023-09-15,260 MURRAY,Ward 12                            ,45.431616,-75.687732,0,1
D01-01-24-0007           ,2024-03-21,Official Plan Amendment  ,No Appeal - Official Plan Amendment Adopted,2024-10-22,190 DAVID MANCHESTER,Ward 5                             ,45.259938999999996,-75.974034,0,1
D01-01-24-0007           ,2024-03-21,Official Plan Amendment  ,No Appeal - Official Plan Amendment Adopted,2024-10-22,197 DAVID MANCHESTER,Ward 5                             ,45.257495,-75.980121,0,1
D01-01-24-0007           ,2024-03-21,Official Plan Amendment  ,No Appeal - Official Plan Amendment Adopted,2024-10-22,220 DAVID MANCHESTER,Ward 5                             ,45.261485,-75.97559,0,1
D01-01-24-0007           ,2024-03-21,Official Plan Amendment  ,No Appeal - Official Plan Amendment Adopted,2024-10-22,312 DAVID MANCHESTER,Ward 5                             ,45.265856,-75.97851,0,1
D01-01-24-0007           ,2024-03-21,Official Plan Amendment  ,No Appeal - Official Plan Amendment Adopted,2024-10-22,7301 FLEWELLYN,Ward 5                             ,45.211866,-75.956951,0,1
D01-01-24-0007           ,2024-03-21,Official Plan Amendment  ,No Appeal - Official Plan Amendment Adopted,2024-10-22,635 JINKINSON,Ward 5                             ,45.235333,-75.969141,0,1
D01-01-24-0007           ,2024-03-21,Official Plan Amendment  ,No Appeal - Official Plan Amendment Adopted,2024-10-22,891 JINKINSON,Ward 5                             ,45.231333,-75.984321,0,1
D07-12-21-0211           ,2021-11-25,Site Plan Control        ,Approval Lapsed - No Building Permit Issued,2024-08-23,415 LEGGET,Ward 4                             ,45.345538999999995,-75.912424,0,0
D02-02-21-0144           ,2021-11-24,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-04-03,453 COVENTRY,Ward 13                            ,45.422233999999996,-75.645996,0,1
D02-02-21-0144           ,2021-11-24,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-04-03,455 COVENTRY,Ward 13                            ,45.422233999999996,-75.645996,0,1
D07-12-21-0098           ,2021-07-06,Site Plan Control        ,Agreement Registered - Securities Held,2025-03-17,180 KANATA,Ward 4                             ,45.313841,-75.909007,0,1
D07-12-21-0100           ,2021-07-07,Site Plan Control        ,Signed Letter of Undertaking Received,2022-11-22,233 RUSS BRADLEY,Ward 5                             ,45.322384,-76.014389,0,0
D07-12-21-0100           ,2021-07-07,Site Plan Control        ,Signed Letter of Undertaking Received,2022-11-22,233 RUSS BRADLEY,Ward 5                             ,45.322807,-76.01209,0,0
D07-12-21-0101           ,2021-07-08,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2022-09-06,1300 UPPER CANADA,Ward 4                             ,45.300328,-75.942055,0,1
D07-12-19-0101           ,2019-05-31,Site Plan Control        ,Application File Pending,2019-08-02,208 SLATER,Ward 14                            ,45.419329,-75.699107,1,0
D07-12-19-0101           ,2019-05-31,Site Plan Control        ,Application File Pending,2019-08-02,212 SLATER,Ward 14                            ,45.419329,-75.699107,1,0
D01-01-19-0011           ,2019-06-12,Official Plan Amendment  ,Application Approved by OMB,2023-06-13,1 SIR JOHN A. MACDONALD,Ward 15                            ,45.411075,-75.734578,0,1
D07-16-19-0020           ,2019-08-02,Plan of Subdivision      ,Request for Agreement Received,2025-01-09,1020 MARCH,Ward 4                             ,45.364294,-75.943507,1,0
D07-16-19-0020           ,2019-08-02,Plan of Subdivision      ,Request for Agreement Received,2025-01-09,1020 MARCH,Ward 4                             ,45.365745,-75.939476,1,0
D07-16-19-0020           ,2019-08-02,Plan of Subdivision      ,Request for Agreement Received,2025-01-09,1020 MARCH,Ward 4                             ,45.368449999999996,-75.93893899999999,1,0
D07-16-19-0020           ,2019-08-02,Plan of Subdivision      ,Request for Agreement Received,2025-01-09,1070 MARCH,Ward 4                             ,45.367290999999994,-75.945176,1,0
D07-12-20-0145           ,2020-11-10,Site Plan Control        ,Receipt of Agreement from Owner Pending,2022-03-18,300 LISGAR,Ward 14                            ,45.416748999999996,-75.696303,0,0
D07-12-20-0145           ,2020-11-10,Site Plan Control        ,Receipt of Agreement from Owner Pending,2022-03-18,300 LISGAR,Ward 14                            ,45.416869999999996,-75.69644199999999,0,0
D07-12-20-0145           ,2020-11-10,Site Plan Control        ,Receipt of Agreement from Owner Pending,2022-03-18,300 LISGAR,Ward 14                            ,45.416869999999996,-75.69644199999999,0,0
D07-12-20-0145           ,2020-11-10,Site Plan Control        ,Receipt of Agreement from Owner Pending,2022-03-18,307 LISGAR,Ward 14                            ,45.417342999999995,-75.696885,0,0
D07-12-20-0145           ,2020-11-10,Site Plan Control        ,Receipt of Agreement from Owner Pending,2022-03-18,309 LISGAR,Ward 14                            ,45.417342999999995,-75.696885,0,0
D07-12-20-0141           ,2020-11-02,Site Plan Control        ,Receipt of Agreement from Owner Pending,2021-11-29,191 HERITAGE MAPLE,Ward 12                            ,45.43277,-75.661896,0,0
D02-02-20-0111           ,2020-11-05,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-02-22,1620 MAPLE GROVE,Ward 6                             ,45.290486,-75.908171,0,1
D02-02-20-0124           ,2020-12-07,Zoning By-law Amendment  ,OMB Appeal Withdrawn - Application Approved,2022-11-01,6301 CAMPEAU,Ward 4                             ,45.314782,-75.905487,0,1
D07-16-20-0031           ,2020-12-08,Plan of Subdivision      ,Agreement Registered - Securities Held,2023-02-16,3080 NAVAN,Ward 19                            ,45.431306,-75.52296199999999,0,1
D07-16-20-0031           ,2020-12-08,Plan of Subdivision      ,Agreement Registered - Securities Held,2023-02-16,6101 RENAUD,Ward 19                            ,45.431306,-75.52296199999999,0,1
D02-02-21-0085           ,2021-08-23,Zoning By-law Amendment  ,OMB Appeal Withdrawn - Application Approved,2023-09-15,260 MURRAY,Ward 12                            ,45.431774999999995,-75.68778499999999,0,1
D02-02-21-0085           ,2021-08-23,Zoning By-law Amendment  ,OMB Appeal Withdrawn - Application Approved,2023-09-15,260 MURRAY,Ward 12                            ,45.43194,-75.687776,0,1
D02-02-21-0085           ,2021-08-23,Zoning By-law Amendment  ,OMB Appeal Withdrawn - Application Approved,2023-09-15,269 KING EDWARD,Ward 12                            ,45.431616,-75.687732,0,1
D02-02-21-0085           ,2021-08-23,Zoning By-law Amendment  ,OMB Appeal Withdrawn - Application Approved,2023-09-15,269 KING EDWARD,Ward 12                            ,45.431774999999995,-75.68778499999999,0,1
D02-02-21-0085           ,2021-08-23,Zoning By-law Amendment  ,OMB Appeal Withdrawn - Application Approved,2023-09-15,277 KING EDWARD,Ward 12                            ,45.431497,-75.68763,0,1
D02-02-21-0085           ,2021-08-23,Zoning By-law Amendment  ,OMB Appeal Withdrawn - Application Approved,2023-09-15,277 KING EDWARD,Ward 12                            ,45.431616,-75.687732,0,1
D02-02-21-0085           ,2021-08-23,Zoning By-law Amendment  ,OMB Appeal Withdrawn - Application Approved,2023-09-15,277 KING EDWARD,Ward 12                            ,45.431774999999995,-75.68778499999999,0,1
D07-12-21-0128           ,2021-08-23,Site Plan Control        ,Request for Agreement Received,2024-01-03,257 KING EDWARD,Ward 12                            ,45.431868,-75.68794799999999,1,0
D07-12-21-0128           ,2021-08-23,Site Plan Control        ,Request for Agreement Received,2024-01-03,261 KING EDWARD,Ward 12                            ,45.431497,-75.68763,1,0
D07-12-19-0196           ,2019-11-26,Site Plan Control        ,Receipt of Agreement from Owner Pending,2020-11-19,246 GILMOUR,Ward 14                            ,45.415752999999995,-75.690555,0,0
D07-12-21-0206           ,2021-11-24,Site Plan Control        ,Request for Agreement Received,2023-02-17,3387 BORRISOKANE,Ward 3                             ,45.249821,-75.761577,1,0
D07-12-21-0206           ,2021-11-24,Site Plan Control        ,Request for Agreement Received,2023-02-17,135 MAIN HALYARD,Ward 3                             ,45.249821,-75.761577,1,0
D02-02-21-0146           ,2021-11-24,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-05-24,841 GRENON,Ward 7                             ,45.355556,-75.799585,0,1
D02-02-21-0146           ,2021-11-24,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-05-24,841 GRENON,Ward 7                             ,45.355700999999996,-75.799071,0,1
D02-02-21-0146           ,2021-11-24,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-05-24,845 GRENON,Ward 7                             ,45.355753,-75.799228,0,1
D02-02-21-0146           ,2021-11-24,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-05-24,855 GRENON,Ward 7                             ,45.355232,-75.799351,0,1
D02-02-21-0147           ,2021-11-26,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-07-19,1125 CYRVILLE,Ward 11                            ,45.424422,-75.63239399999999,0,1
D02-02-21-0147           ,2021-11-26,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-07-19,1149 CYRVILLE,Ward 11                            ,45.424422,-75.63239399999999,0,1
D02-02-21-0147           ,2021-11-26,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-07-19,1129 CYRVILLE,Ward 11                            ,45.424422,-75.63239399999999,0,1
D02-02-21-0147           ,2021-11-26,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-07-19,1148 CYRVILLE,Ward 11                            ,45.423116,-75.631438,0,1
D02-02-22-0061           ,2022-06-30,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-10-19,6086 FRONTIER,Ward 19                            ,45.323606999999996,-75.420215,0,1
D07-16-19-0020           ,2019-08-02,Plan of Subdivision      ,Request for Agreement Received,2025-01-09,1070 MARCH,Ward 4                             ,45.368597,-75.94146599999999,1,0
D07-16-19-0020           ,2019-08-02,Plan of Subdivision      ,Request for Agreement Received,2025-01-09,1070 MARCH,Ward 4                             ,45.369744999999995,-75.940264,1,0
D02-02-19-0090           ,2019-08-02,Zoning By-law Amendment  ,Zoning By-law in Effect,2025-03-19,1020 MARCH,Ward 4                             ,45.364509,-75.941609,0,1
D02-02-19-0090           ,2019-08-02,Zoning By-law Amendment  ,Zoning By-law in Effect,2025-03-19,1020 MARCH,Ward 4                             ,45.365745,-75.939476,0,1
D02-02-19-0090           ,2019-08-02,Zoning By-law Amendment  ,Zoning By-law in Effect,2025-03-19,1020 MARCH,Ward 4                             ,45.368977,-75.937287,0,1
D02-02-19-0090           ,2019-08-02,Zoning By-law Amendment  ,Zoning By-law in Effect,2025-03-19,1070 MARCH,Ward 4                             ,45.367290999999994,-75.945176,0,1
D07-12-21-0177           ,2021-10-27,Site Plan Control        ,Application File Pending,2022-02-10,1740 ST-LAURENT; BOUL,Ward 18                            ,45.405369,-75.62753099999999,1,0
D07-12-21-0177           ,2021-10-27,Site Plan Control        ,Application File Pending,2022-02-10,1760 ST-LAURENT; BOUL,Ward 18                            ,45.404595,-75.627445,1,0
D07-12-21-0178           ,2021-10-27,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2023-08-10,630 CHURCHILL,Ward 15                            ,45.384479999999996,-75.749534,0,1
D02-02-21-0137           ,2021-10-27,Zoning By-law Amendment  ,Application File Pending,2021-12-14,1754 ST-LAURENT; BOUL,Ward 18                            ,45.404906,-75.627484,1,0
D07-12-21-0179           ,2021-10-27,Site Plan Control        ,Initial Circulation Period Completed,2021-12-23,372 TWEEDSMUIR,Ward 15                            ,45.394141,-75.75049,1,0
D07-16-20-0031           ,2020-12-08,Plan of Subdivision      ,Agreement Registered - Securities Held,2023-02-16,3000 NAVAN,Ward 19                            ,45.430614999999996,-75.52153899999999,0,1
D07-16-20-0031           ,2020-12-08,Plan of Subdivision      ,Agreement Registered - Securities Held,2023-02-16,3054 NAVAN,Ward 19                            ,45.431306,-75.52296199999999,0,1
D07-16-20-0031           ,2020-12-08,Plan of Subdivision      ,Agreement Registered - Securities Held,2023-02-16,3048 NAVAN,Ward 19                            ,45.431306,-75.52296199999999,0,1
D02-02-20-0126           ,2020-12-09,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-10-18,521 BRIGATINE,Ward 6                             ,45.28791,-75.913774,0,1
D02-02-20-0126           ,2020-12-09,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-10-18,501 KHAMSIN,Ward 6                             ,45.288374,-75.913913,0,1
D07-16-20-0032           ,2020-12-09,Plan of Subdivision      ,Agreement Registered - Securities Held,2025-04-10,501 KHAMSIN,Ward 6                             ,45.288374,-75.913913,0,1
D07-12-21-0015           ,2021-01-30,Site Plan Control        ,Application Approved: No Agreement/Letter of Undertaking Required,2025-09-17,120 DEN HAAG,Ward 13                            ,45.44435,-75.634986,0,1
D07-12-21-0014           ,2021-01-29,Site Plan Control        ,Request for Agreement Received,2023-03-28,316 CLIFTON,Ward 15                            ,45.396665999999996,-75.749271,1,0
D07-12-21-0014           ,2021-01-29,Site Plan Control        ,Request for Agreement Received,2023-03-28,324 CLIFTON,Ward 15                            ,45.396423,-75.749095,1,0
D07-12-21-0014           ,2021-01-29,Site Plan Control        ,Request for Agreement Received,2023-03-28,328 CLIFTON,Ward 15                            ,45.396299,-75.749003,1,0
D07-12-21-0082           ,2021-06-09,Site Plan Control        ,Signed Letter of Undertaking Received,2023-02-06,1180 8TH LINE,Ward 20                            ,45.298002,-75.507817,0,0
D07-12-19-0197           ,2019-11-28,Site Plan Control        ,Application File Pending,2020-05-01,530 TREMBLAY,Ward 18                            ,45.417424,-75.636265,1,0
D07-12-19-0197           ,2019-11-28,Site Plan Control        ,Application File Pending,2020-05-01,2098 AVENUE P,Ward 18                            ,45.41693,-75.63987999999999,1,0
